termName	cui	tty
Disorder of cardiac pacemaker system	C0340914	disorder
Complaining of debility and malaise	C0439032	finding
Atonic postpartum hemorrhage	C0269899	disorder
Heel pain	C0231780	finding
Anemia of pregnancy	C0271930	disorder
Toothache	C0040460	finding
Repair of coarctation of aorta	C0558326	procedure
Central sleep apnea syndrome	C0520680	disorder
Tonsil carcinoma	C0558355	disorder
Cerebral hemorrhage	C0007784	disorder
Thyroid disease in pregnancy	C0558372	disorder
Leukoplakia	C0023531	disorder
Lumbar disc lesion	C0549374	disorder
Tendon contracture	C0158350	disorder
Dupuytren's contracture	C0013312	disorder
Pathological fracture of vertebra	C0302491	disorder
Spondylolisthesis	C0038016	disorder
Fracture of phalanx of thumb	C0555337	disorder
Thoracic back sprain	C0160107	disorder
Laceration of skin	C0558401	disorder
Scalp laceration	C0240937	disorder
Open wound of abdominal wall	C0392118	disorder
Laceration of finger	C0432981	disorder
Superficial injury of wrist	C0347545	disorder
Subungual hematoma, foot	C0558427	disorder
Cut - accidental	C0558441	disorder
Drug overdose - suicide	C0558442	event
Fibrocystic disease of breast	C0016034	disorder
Intrauterine device check	C0559236	procedure
Abnormal findings on diagnostic imaging of lung	C0495786	finding
Feeding difficulties and mismanagement	C0699815	finding
Delayed milestone	C0476241	finding
Acute pain	C0184567	finding
Jaw pain	C0236000	finding
Non-cardiac chest pain	C0476281	finding
Abnormal sputum	C0159054	finding
Shadow of lung	C0476367	finding
Orchitis	C0029191	disorder
Intra-abdominal and pelvic swelling, mass and lump	C0495676	finding
Mass in head or neck	C0476250	finding
Albuminuria	C0001925	finding
Alkaline phosphatase raised	C0151849	finding
Fracture of face bones	C0159321	disorder
Elevated levels of transaminase & lactic acid dehydrogenase	C0558818	finding
Excision of bunion	C0188583	procedure
Abnormal glucose tolerance test	C0159069	finding
Gilbert's syndrome	C0017551	disorder
Family history of stroke	C1261367	situation
Family history: Ovarian carcinoma	C0559120	situation
Family history: Coronary thrombosis	C0559136	situation
Metastasis to digestive organs	C0555276	disorder
Swollen legs	C0581394	finding
Injury of nail	C0347575	disorder
Scar	C2004491	disorder
Shoulder strain	C0555315	disorder
Ruptured Achilles tendon - traumatic	C0555311	disorder
Retained products after spontaneous abortion	C0000810	disorder
Perianal dermatitis	C0554478	disorder
Foreign body - finger	C0555977	disorder
Disorders of smell	C0553757	disorder
Congenital quadriplegia	C0154697	disorder
Non-suppurative otitis media	C0271446	disorder
Respiratory tract infection	C0035243	disorder
Acute wheezy bronchitis	C0553968	disorder
Disorder of blood vessel	C0042373	disorder
Superficial vein thrombosis	C0235511	disorder
Peripheral arteriovenous malformation	C0495524	disorder
Claudication	C1456822	finding
History of - cerebrovascular accident	C0559159	situation
History of - anemia	C0559154	situation
History of - heart disorder	C0559157	situation
History of - bone marrow donation	C0455693	situation
History of - intestinal by-pass	C0559175	situation
Cellulitis of finger	C0263132	disorder
Infective hepatitis immunization	C0554828	procedure
History of - sexually transmitted disease	C0558975	situation
Unstable diabetes mellitus	C0554876	disorder
Family history of cancer	C0260515	situation
Cholesterol screening	C0201950	procedure
Colon neoplasm screening	C0554837	procedure
Immunization refused	C0580520	finding
Thyroid eye disease	C0339143	disorder
Telangiectasia	C0039446	disorder
Reduced fetal movement	C0235659	finding
Insect bite - wound	C0021564	disorder
Generalized pruritus	C0475858	finding
Varices	C0042345	disorder
Fetal death	C0015927	event
Apnea of prematurity	C0475715	disorder
Newborn physiological jaundice	C1565887	disorder
Low birth weight infant	C0024032	disorder
High birth weight infant	C0349482	disorder
Growth delay	C0456070	disorder
Epicranial subaponeurotic hemorrhage	C0475728	disorder
Congenital malformation	C0000768	disorder
Extreme immaturity	C0270078	disorder
Dysmorphism	C1737329	disorder
Labile hypertension	C0262534	disorder
Malignant glioma of brain	C0349541	disorder
Intraduct papilloma of pancreas	C0349549	disorder
Carcinoma of fallopian tube	C0238122	disorder
Trichomonal vaginitis	C0040923	disorder
Squamous cell carcinoma of tongue	C0349566	disorder
Squamous cell carcinoma of floor of mouth	C0280300	disorder
Carcinoma of larynx	C0595989	disorder
Abscess of scrotum	C0238418	disorder
Ulnar nerve entrapment	C0751658	disorder
Berry aneurysm	C0005136	disorder
Hearing aid worn	C0456537	finding
Sputum retention	C0456673	finding
Calcific tendinitis of shoulder	C0158303	disorder
Lymphoproliferative disorder	C0024314	disorder
T-cell chronic lymphocytic leukemia	C0023494	disorder
Monoclonal gammopathy of uncertain significance	C0278494	disorder
Delirium	C0011206	disorder
Mucosa-associated lymphoma	C0242647	disorder
Follicular malignant lymphoma - large cell	C0079745	disorder
Blind	C0456909	finding
Lumbar puncture	C0037943	procedure
Fusion of posterior lumbar spine	C0186046	procedure
Scalp pruritus	C0240941	disorder
Problem behavior	C0260653	finding
Autonomic neuropathy	C0259749	disorder
Toe swelling	C0457084	finding
Peripheral blood stem cell graft	C0398535	procedure
Pertussis	C0043167	disorder
Pain management	C0002766	procedure
Afibrinogenemia	C0001733	disorder
Lobar pneumonia	C0032300	disorder
Facial swelling	C0151602	finding
Edentulous	C0026644	finding
Bony callus	C0006767	morphologic abnormality
Complete atrioventricular block	C0151517	disorder
Acute schizophrenia-like psychotic disorder	C0349709	disorder
Chronic low back pain	C0457949	finding
Acute low back pain	C0457950	finding
Hepatitis A immune	C0458069	finding
Cervicogenic headache	C0458101	finding
Pain in cervical spine	C0423674	finding
Thoracic back pain	C0423684	finding
Low back pain	C0024031	finding
Mechanical low back pain	C0423682	finding
Pain in buttock	C0231710	finding
Foot joint pain	C0458239	finding
Musculoskeletal pain	C0026858	finding
Dysesthesia	C0392699	finding
Chest discomfort	C0235710	finding
Abscess of liver	C0023885	disorder
Pruritic disorders	C0033774	disorder
Shock	C0036974	disorder
Recurrent falls	C0458990	finding
Closed fracture of shaft of tibia	C0159862	disorder
Closed fracture of shaft of bone of forearm	C0272637	disorder
Multiparous	C0026751	finding
Facial palsy	C0015469	disorder
Fracture, delayed union	C0332743	morphologic abnormality
Arteriovenous graft thrombosis	C0349757	disorder
Well man health examination	C0420154	procedure
Well woman health examination	C0420152	procedure
Renal hypertension	C0020544	disorder
Exacerbation of asthma	C0349790	disorder
Musculoskeletal chest pain	C0476280	finding
Small bowel obstruction	C0235329	disorder
Groin mass	C0240007	finding
Sprain of spinal ligament	C0559492	disorder
Hepatitis B contact	C0559536	finding
Recurrent mouth ulcers	C0554021	disorder
Mobitz type II atrioventricular block	C0155700	disorder
No abnormality detected	C0559229	finding
Premature delivery	C0151526	finding
Soft tissue injury	C0037578	disorder
Multiple-resistant Staphylococcus aureus infection	C0559893	disorder
Allergic reaction to bee sting	C0438638	disorder
Unable to balance	C0241981	finding
Noninflammatory disorder of vulva	C0269216	disorder
Head and neck injury	C0178671	disorder
Injury of eye region	C0560619	disorder
Injury of toe	C0560641	disorder
Paroxysmal atrial fibrillation	C0235480	disorder
Hereditary factor VIII deficiency disease	C0019069	disorder
Superficial injury of forearm	C0347544	disorder
Abrasion of lower limb	C0560960	disorder
Family disruption	C0015582	finding
Laceration of forehead	C0561236	disorder
Laceration of lip	C0561241	disorder
Gunshot wound	C0043252	disorder
Needle stick injury	C0085178	disorder
Dog bite - wound	C0561596	disorder
Cat bite - wound	C0561644	disorder
Localized retinal edema	C0271050	disorder
Incision and drainage of abscess	C0562025	procedure
Burn of genitalia	C0562083	disorder
Abscess of breast	C0151463	disorder
Polyuria	C0032617	finding
Cellulitis of arm	C0562422	disorder
Myringotomy and insertion of grommet	C1970955	procedure
Laceration of hand	C0432975	disorder
Severe recurrent major depression with psychotic features	C0154413	disorder
Carcinoma of anal canal	C0563211	disorder
Carcinoma of sigmoid colon	C0751498	disorder
Pain in toe	C0241416	finding
Pain in penis	C0497481	finding
Left sided abdominal pain	C0563276	finding
Carcinoma of cervix	C0302592	disorder
Congenital capsular cataract	C0266534	disorder
Hypovolemia	C0546884	disorder
Cervical intraepithelial neoplasia	C0206708	disorder
Removal of plate from bone	C0563545	procedure
Removal of screws from bone	C0563546	procedure
Cervical intraepithelial neoplasia grade 1	C0349458	disorder
Cervical intraepithelial neoplasia grade 2	C0349459	disorder
Chronic acquired lymphedema	C0265191	disorder
Vesicocolic fistula	C0268842	disorder
Orthostatic hypotension	C0020651	disorder
Severe manic bipolar I disorder with psychotic features	C0236770	disorder
Esophageal varices	C0014867	disorder
Interstitial nephritis	C0027707	disorder
Carcinoma of breast - upper, outer quadrant	C0564708	disorder
Skin - benign mole and nevus	C0564714	disorder
Cellulitis of leg, excluding foot	C0263159	disorder
Rheumatoid arthritis of hand joint	C0564785	disorder
Low maternal weight gain	C0233214	finding
Synovitis/tenosynovitis - knee	C0564797	disorder
Atrial premature complex	C0033036	disorder
Sprained finger/thumb	C0564858	disorder
Polycystic kidney disease, adult type	C0085413	disorder
Productive cough	C0239134	finding
Bilateral tubal ligation	C0589114	procedure
Incisional biopsy of breast mass	C0191850	procedure
Osteomyelitis of ankle AND/OR foot	C0264029	disorder
Retinitis pigmentosa	C0035334	disorder
Acute appendicitis with generalized peritonitis	C0156092	disorder
Acute ill-defined cerebrovascular disease	C0001365	disorder
Moderate bipolar I disorder, single manic episode	C0236758	disorder
Tonsillectomy and adenoidectomy	C0193959	procedure
Vaginal delivery	C0566690	finding
Eruption due to drug	C0011609	disorder
Cytomegalovirus infection	C0010823	disorder
Lesion of vulva	C0221784	finding
Mass of vulva	C0241716	finding
Vaginal lesion	C0566943	finding
No liquor observed vaginally	C0566991	finding
Immune thrombocytopenia	C0272286	disorder
Progressive supranuclear ophthalmoplegia	C0038868	disorder
Lesion of cervix	C0235656	finding
Menopause present	C0567312	finding
History of bladder neoplasm	C0567322	situation
Mass of ovary	C0240611	finding
Retinal hemorrhage	C0035317	finding
Spastic dysphonia	C0264588	disorder
Melena	C0025222	disorder
Bloody nipple discharge	C0541951	disorder
Male infertility	C0021364	disorder
Discharge from penis	C0232861	finding
Disturbance in speech	C0233715	finding
Alcohol-induced organic mental disorder	C0236664	disorder
Immunoglobulin A deficiency	C0162538	disorder
Contact hypersensitivity	C0162351	disorder
Aseptic necrosis of head AND/OR neck of femur	C0003977	disorder
Occlusion of artery	C0264995	disorder
Keratoplasty	C0010042	procedure
Disorder of stomach	C0038354	disorder
Elderly primigravida	C0157187	finding
Acetaminophen overdose	C0572025	disorder
Streptococcal septicemia	C0152964	disorder
Chronic undifferentiated schizophrenia	C0270403	disorder
Benzodiazepine overdose	C0572933	disorder
Acute epiglottitis	C0155814	disorder
Atrophy of vagina	C0241616	disorder
Premature beats	C0340464	disorder
Motorcycle accident	C0574035	event
Anterior spinal artery occlusion syndrome	C0221069	disorder
Rib pain	C0574068	finding
Family history of ischemic heart disease	C1313980	situation
Steroid therapy	C0149783	procedure
Proteinuria	C0033687	finding
Closed fracture of scapula	C0159668	disorder
Partial seizure	C0751495	disorder
Varicose veins of lower extremity without ulcer AND without inflammation	C1281489	disorder
Mass of skin	C0281981	finding
Foreign body of skin of finger	C0574869	disorder
Shoulder joint inflamed	C0574943	finding
Wrist joint inflamed	C0574945	finding
Hand joint inflamed	C0574946	finding
Hip joint inflamed	C0574950	finding
Ankle joint inflamed	C0574952	finding
Range of joint movement increased	C0086437	finding
Active range of joint movement reduced	C0575002	finding
Bilateral salpingectomy with oophorectomy	C0195495	procedure
Soft tissue swelling	C0037580	finding
Temporomandibular joint tender	C0575152	finding
Scoliosis deformity of spine	C0036439	disorder
Scoliosis of thoracic spine	C0575270	finding
Chest pain	C0008031	finding
Heart pain	Z0000001	finding
Lumbar spine scoliosis	C0575367	finding
Paraumbilical hernia	C0019311	disorder
Shoulder joint deformity	C0575544	finding
Shoulder joint unstable	C0575624	finding
Elbow joint unstable	C0575695	finding
Deformity of hand	C0018564	finding
Swelling of hand	C0575805	finding
Weakness of hand	C0575810	finding
Swelling of finger	C0239598	finding
Deformity of hip joint	C0239954	finding
Deformity of knee joint	C0576091	finding
Herpes simplex dendritic keratitis	C0022570	disorder
Chronic laryngitis	C0155836	disorder
Amputated above knee	C0576404	finding
Feeding poor	C0576456	finding
Mass of neck	C0149736	finding
Lump on face	C0239505	finding
Dental abscess	C0518988	disorder
Infection toe	C0555972	disorder
Screening for osteoporosis	C0576743	procedure
Removal of acoustic neuroma	C0576748	procedure
Lesion of external ear	C0576825	finding
Ear problem	C0262174	finding
Lesion of tongue	C0576971	finding
Lesion of liver	C0577053	finding
Liver mass	C0240225	finding
Anal fissure	C0016167	disorder
Acute angle-closure glaucoma	C0154946	disorder
Lesion of bladder	C0577180	finding
Lesion of testis	C0577215	finding
Lesion of penis	C0149751	finding
Endogenous depression	C0011573	disorder
Mass of body structure	C0577559	finding
Morton's metatarsalgia	C0311337	disorder
Mass of axilla	C0238729	finding
Swelling of arm	C0577598	finding
Infected hand	C0577657	disorder
Pain in axilla	C0577659	finding
Pain in calf	C0236040	finding
Pain in thumb	C0241394	finding
Low back strain	C0262541	disorder
Skin ulcer of calf	C0577688	disorder
Controlled atrial fibrillation	C0577699	disorder
Left lower zone pneumonia	C0585104	disorder
Right lower zone pneumonia	C0585105	disorder
Decubitus ulcer of ankle	C0577713	disorder
Ulcer of toe	C0577717	disorder
Ulcer of heel	C0577718	disorder
Ulcer of calf	C0577719	disorder
Bacterial endocarditis	C0014121	disorder
Nasal sinus problem	C0577887	finding
Lesion of vocal cord	C0577903	finding
Tietze's disease	C0040213	disorder
Body weight problem	C0578026	finding
Difficulty sleeping	C0235162	finding
Lesion of lip	C0578040	finding
Disorder of adrenal gland	C0001621	disorder
Left upper quadrant pain	C0238552	finding
Left lower quadrant pain	C0238551	finding
Right upper quadrant pain	C0235299	finding
Right lower quadrant pain	C0694551	finding
Lesion of brain	C0221505	finding
Neck swelling	C0578454	finding
Loin abscess	C0263109	disorder
Transient synovitis of hip	C0149908	disorder
Alpha-1-antitrypsin deficiency	C0221757	disorder
Lesion of eyelid	C0578590	finding
Gastrostomy present	C1281551	finding
Thrombocytopenic disorder	C0040034	disorder
Ecchymosis	C0013491	finding
Salmonella food poisoning	C0036114	disorder
